               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 120,            0.049399,            0.028259,           0.0031818,             0.24345,             0.17723,             0.12983,            0.030042,            0.077009,            0.015326,            0.013712,           0.0070547,           0.0070547,           0.0070547
                 121,            0.050039,            0.027412,           0.0024614,             0.17022,              0.2157,              0.1134,            0.024259,            0.080743,            0.015269,            0.016431,             0.00703,             0.00703,             0.00703
                 122,            0.049863,            0.026766,            0.002932,             0.24676,             0.22245,             0.13239,            0.032347,            0.075454,             0.01512,            0.011768,           0.0070053,           0.0070053,           0.0070053
                 123,            0.048982,            0.026559,           0.0028522,             0.25585,             0.24948,             0.15135,            0.040397,            0.070927,            0.015805,            0.010341,           0.0069805,           0.0069805,           0.0069805
                 124,            0.048106,            0.026463,           0.0025542,              0.2518,             0.32588,             0.17424,            0.054465,            0.062693,            0.017419,           0.0068345,           0.0069558,           0.0069558,           0.0069558
                 125,            0.048422,            0.026776,           0.0029324,               0.202,             0.25052,             0.15231,             0.03917,            0.068746,            0.015555,           0.0073687,            0.006931,            0.006931,            0.006931
                 126,            0.049048,            0.025609,             0.00331,             0.20365,             0.20322,             0.12257,            0.032427,            0.073747,            0.015131,           0.0084164,           0.0069063,           0.0069063,           0.0069063
                 127,            0.048231,            0.026835,           0.0033514,             0.27609,             0.24168,             0.14141,            0.039092,            0.073221,            0.015323,           0.0098186,           0.0068815,           0.0068815,           0.0068815
                 128,            0.048352,            0.028615,           0.0025678,              0.3092,             0.26195,             0.20149,            0.051668,            0.074469,            0.015318,            0.011223,           0.0068568,           0.0068568,           0.0068568
                 129,            0.046517,            0.025329,           0.0026253,             0.28169,              0.2556,             0.17185,            0.044231,            0.070279,            0.016198,           0.0099139,            0.006832,            0.006832,            0.006832
                 130,            0.047472,             0.02649,           0.0021584,             0.22201,              0.2843,             0.13677,            0.032953,            0.069498,            0.016674,           0.0084173,           0.0068073,           0.0068073,           0.0068073
                 131,            0.047758,            0.025929,           0.0022177,             0.30736,             0.32952,             0.16636,            0.046601,            0.067902,            0.015991,           0.0076461,           0.0067825,           0.0067825,           0.0067825
                 132,            0.049886,            0.025791,           0.0025874,             0.16166,             0.18087,              0.1324,            0.039843,            0.078441,            0.015139,              0.0208,           0.0067577,           0.0067577,           0.0067577
                 133,            0.047681,            0.025944,            0.002205,             0.26894,             0.29782,             0.13479,            0.036651,            0.066872,            0.016302,           0.0046654,            0.006733,            0.006733,            0.006733
                 134,            0.047604,            0.026169,           0.0021658,             0.13771,             0.26611,            0.076576,            0.017786,            0.067835,            0.018633,           0.0071109,           0.0067082,           0.0067082,           0.0067082
                 135,            0.047037,            0.026393,           0.0024539,             0.27608,             0.28222,             0.16328,            0.047127,            0.070414,             0.01541,           0.0089108,           0.0066835,           0.0066835,           0.0066835
                 136,            0.046298,            0.027705,           0.0022606,             0.21701,             0.24405,             0.14627,            0.049356,            0.069351,            0.015475,           0.0079587,           0.0066587,           0.0066587,           0.0066587
                 137,            0.046423,            0.026343,           0.0024882,             0.22758,             0.26871,              0.1521,            0.038102,            0.073794,            0.014999,            0.011007,            0.006634,            0.006634,            0.006634
                 138,            0.045976,            0.024946,            0.001965,             0.20371,             0.21822,             0.13461,            0.040554,            0.075581,            0.014667,            0.014298,           0.0066092,           0.0066092,           0.0066092
                 139,            0.047212,            0.024117,           0.0018716,             0.26788,             0.21466,             0.14984,            0.035474,            0.074366,            0.015082,            0.015097,           0.0065845,           0.0065845,           0.0065845
                 140,             0.04678,            0.025099,           0.0019259,              0.2288,             0.21206,              0.1106,             0.03349,            0.070017,            0.016952,            0.011156,           0.0065598,           0.0065598,           0.0065598
                 141,            0.045961,            0.026802,           0.0021283,             0.22169,             0.22516,             0.12044,            0.032479,            0.065382,            0.017755,           0.0068099,            0.006535,            0.006535,            0.006535
                 142,            0.046074,            0.024525,           0.0024087,             0.33342,             0.25624,             0.15528,            0.044654,            0.069259,            0.015067,           0.0086722,           0.0065102,           0.0065102,           0.0065102
                 143,            0.044806,            0.025958,           0.0025619,             0.27208,             0.24948,             0.17044,            0.046343,            0.078119,             0.01427,            0.016632,           0.0064855,           0.0064855,           0.0064855
                 144,            0.046357,            0.024374,           0.0025334,             0.23558,             0.25562,             0.14541,            0.039492,            0.071612,             0.01502,           0.0077834,           0.0064608,           0.0064608,           0.0064608
                 145,            0.046076,            0.026311,           0.0017378,             0.23744,             0.19647,              0.1374,            0.032655,            0.074805,            0.015319,            0.014503,            0.006436,            0.006436,            0.006436
                 146,            0.044271,            0.024614,           0.0018031,             0.17543,             0.20894,             0.11505,            0.026175,             0.07867,            0.015002,            0.018914,           0.0064112,           0.0064112,           0.0064112
                 147,            0.043814,             0.02657,           0.0020038,             0.23886,              0.3316,             0.15627,            0.046229,            0.067957,            0.016112,           0.0076735,           0.0063865,           0.0063865,           0.0063865
                 148,             0.04401,            0.025706,           0.0016094,             0.17538,             0.14449,            0.095554,             0.02954,            0.070892,            0.015972,           0.0098029,           0.0063618,           0.0063618,           0.0063618
                 149,            0.043962,            0.024407,           0.0026438,             0.23228,             0.29002,             0.18021,            0.050222,            0.069388,            0.015197,           0.0090491,            0.006337,            0.006337,            0.006337
                 150,            0.045675,            0.025246,           0.0019337,             0.26494,             0.24376,             0.10984,            0.030261,            0.074149,            0.015547,             0.01309,           0.0063122,           0.0063122,           0.0063122
                 151,             0.04503,            0.024821,           0.0023496,             0.24526,             0.23597,             0.13455,            0.036725,            0.076069,            0.014953,            0.014812,           0.0062875,           0.0062875,           0.0062875
                 152,            0.042902,            0.024109,           0.0023572,              0.3409,             0.30106,             0.19992,            0.058598,            0.071569,            0.014811,           0.0093873,           0.0062628,           0.0062628,           0.0062628
